Transaction ID,Date,User ID,Book Title,Genre,Borrowing Duration (Days)
T00437,2025-05-14,U0001,A Century of Silence,History,7
T00200,2025-10-26,U0117,Quantum Drift,Science Fiction,7
T01489,2025-10-21,U0039,The Vanishing Hour,Mystery,13
T00629,2025-03-31,U0095,The Art of Deep Rest,Self-Help,8
T01370,2025-06-30,U0042,The Art of Deep Rest,Self-Help,2
T00687,2025-01-29,U0012,Crown of Thorned Vines,Fantasy,13
T01053,2025-11-17,U0098,Detective Rao's Final Case,Mystery,12
T00702,2025-05-16,U0002,Detective Rao's Final Case,Mystery,3
T01156,2025-04-14,U0092,The Long Road Home,Biography,13
T00838,2025-03-05,U0076,Empires of Sand,History,8
T00759,2025-12-13,U0039,Neon Horizon,Science Fiction,6
T00569,2025-03-11,U0063,A Century of Silence,,-3
T00008,2025-01-17,U0030,Habits That Stick,Self-Help,1
T00858,2025-11-28,U0096,The Forgotten Treaty,History,12
T00390,2025-02-25,U0109,An Ordinary Genius,Biography,19
T00245,2025-11-16,U0036,The Cartographer's Daughter,Fiction,6
T01479,2025-02-19,U0049,Rising: A Memoir,Biography,18
T00581,2025-04-16,U0101,Notes from a Quiet Life,Biography,14
T01088,2025-01-20,U0013,Life in the Margins,Biography,14
T01417,2025-10-17,U0062,Detective Rao's Final Case,Mystery,10
T00579,2025-05-02,U0104,Midnight in Avalon,Fiction,11
T00600,2025-03-26,U0084,Rising: A Memoir,Biography,13
T00627,2025-05-03,U0109,The Art of Deep Rest,Self-Help,15
T00082,2025-03-07,U0071,The Discipline of Small Wins,Self-Help,7
T01197,,U0110,Shadows on Elm Street,Mystery,19
T00189,2025-02-21,U0057,The Forgotten Treaty,History,5
T01336,2025-05-26,U0047,A Thousand Quiet Rooms,Fiction,23
T00974,2025-10-03,U0033,An Ordinary Genius,Biography,14
T00910,2025-05-15,U0026,Revolutions of the Mind,History,23
T00969,2025-04-13,U0076,The Dragon's Ledger,Fantasy,11
T00639,2025-12-02,U0092,Empires of Sand,History,11
T00568,2025-01-28,U0080,Empires of Sand,History,15
T01327,2025-05-26,U0076,The Discipline of Small Wins,Self-Help,15
T00658,2025-08-27,U0058,Midnight in Avalon,Fiction,16
T00864,2025-04-10,U0100,The Long Road Home,Biography,16
T00623,2025-02-12,U0052,The Sorcerer's Apprentice,Fantasy,2
T00764,2025-11-04,U0104,Revolutions of the Mind,History,20
T00868,2025-06-15,U0119,Whispers of the Tide,Fiction,13
T00079,2025-12-10,U0095,A Century of Silence,History,1
T00560,2025-09-08,U0111,The Vanishing Hour,Mystery,17
T00314,2025-05-09,U0112,The Long Road Home,Biography,15
T00780,2025-09-08,U0021,Life in the Margins,Biography,22
T01285,2025-12-03,U0077,A Thousand Quiet Rooms,Fiction,13
T00187,2025-11-30,U0085,The Dragon's Ledger,Fantasy,14
T00503,2025-11-23,U0008,Life in the Margins,Biography,
T01019,2025-05-07,U0030,The Dragon's Ledger,Fantasy,19
T00904,2025-06-06,U0085,Detective Rao's Final Case,Mystery,18
T01106,2025-12-10,U0015,Life in the Margins,Biography,9
T00845,2025-08-20,U0038,A Century of Silence,History,
